buyer,date_end,date_ordered,description,expected_delivery_days,extend_delivery,extras_amount,extras_price,gig,includes,order_link,stars,status,total
nicolas582,23/05/2024,22/05/2024,Actualización en bot para indicar tiempo de actualización desde archivo de configuraciones  y corregir fecha de expiración de cookies,2,0,0,0,do web automation bot,1 page mined/scraped | 1 source mine/scraped | Install script | Task automation | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO618AB652D82,0,Completed,15.0
joseantonioe833,22/05/2024,20/05/2024,Actualizar proyecto kofi-api-nyx,3,0,0,0,"do a script for web scraping, data mining from website",1 page scraped | Formatting & clean up | 1 Revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO424FC62ACC8,0,Completed,30.0
brauliofiloteo,16/05/2024,13/05/2024,Ajustar contenido de página web,1,1,2,10.0,"create your web page  fast, responsive, contact forms, animations, customization",2 pages | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO3127665F543,0,Completed,10.0
brauliofiloteo,25/04/2024,24/04/2024,borrar contenido de página web,1,0,0,0,"create your web page  fast, responsive, contact forms, animations, customization",2 pages | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO2C41DECC42,0,Completed,10.0
brauliofiloteo,16/04/2024,15/04/2024,borrar contenido en página web,2,0,0,0,"create your web page  fast, responsive, contact forms, animations, customization",1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO4125893EE42,5,Completed,10.0
bernardo2810,14/04/2024,08/04/2024,Bot para extraer productos de https://6pm.com/,8,0,2,180.0,"do web scraping, data mining any website",1 source scraped | Formatting & clean up | 1 Revision | Extraer todas las combiaciones de colores y tallas para obtener stock,https://www.fiverr.com/users/darideveloper/manage_orders/FO2C35F92242,0,Completed,150.0
bernardo2810,08/04/2024,07/04/2024,Prueba de acceso de web scraping  para página https://www.6pm.com/,2,0,0,0,"do web scraping, data mining any website",1 source scraped | 1 Revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO3C354E3241,0,Completed,10.0
nicolas582,14/04/2024,07/04/2024,bot para aceptar ofertas en boosting factory,7,1,3,120.0,"do web scraping, data mining any website",1 source scraped | 1 page scraped | Formatting & clean up | 1 Revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO3C3516B741,4.3,Completed,110.0
lilianam858,23/04/2024,03/04/2024,Página web en base a infomación proporcionada por el cliente  y diseño https://www.elegantthemes.com/layouts/lifestyle/home-organizer-landing-page/live-demo,20,0,3,370.0,"create your web page  fast, responsive, contact forms, animations, customization",Content upload | Functional website | Speed optimization | Hosting setup | 2 revisions | Página de About us y Anti spam | Botón flotante de whatsapp,https://www.fiverr.com/users/darideveloper/manage_orders/FO118653EFD87,5,Completed,310.0
ignacio_adt,10/04/2024,03/04/2024,3º Extración BBDD embajadas,12,0,0,0,"do web scraping, data mining any website",1 source scraped | 1 page scraped | Formatting & clean up | 1 Revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO16190BF201,0,Completed,83.0
ignacio_adt,10/04/2024,03/04/2024,2º Herramienta de Kit Digital + extracción de BBDD,9,0,0,0,"do web scraping, data mining any website",1 source scraped | 1 page scraped | Formatting & clean up | 1 Revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO2C3217D042,0,Completed,83.0
ignacio_adt,05/04/2024,03/04/2024,1º Extracción BBDD Incibe,5,0,0,0,"do web scraping, data mining any website",1 Revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO31E7D32E607,0,Completed,84.0
dejurado,08/04/2024,02/04/2024,Extract podcast from media.ascensionpress.com,7,0,0,0,"do web scraping, data mining any website",1 source scraped | Formatting & clean up | 1 Revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO31E7C876C87,5,Completed,150.0
joseantonioe833,05/04/2024,02/04/2024,Cambios en web https://www.nyxtrackers.com/,3,0,0,0,convert design to website with hosting and domain,1 page | Responsive design | Server upload | Browser compatibility | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO1124AADC2C5,0,Completed,50.0
abelsotovaldez,21/03/2024,20/03/2024,Convertir diseño proporcionado por el cliente  a página web responsive,1,0,0,0,convert design to website with hosting and domain,1 page | Responsive design | Slider/scroller | Server upload | Unlimited revisions,https://www.fiverr.com/users/darideveloper/manage_orders/FO61E6549D304,5,Completed,5.0
abelsotovaldez,21/03/2024,20/03/2024,Script para extraer datos de https://www.xvideos.com/,2,0,0,0,"do web scraping or web automation and save data in excel, csv, json or database",1 source scraped | 1 page scraped | Formatting & clean up | Unlimited revisions,https://www.fiverr.com/users/darideveloper/manage_orders/FO524798A2CC7,5,Completed,5.0
brauliofiloteo,16/03/2024,15/03/2024,borrar contenido en página web,1,0,0,0,convert design to website with hosting and domain,1 page | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO31237298343,0,Completed,10.0
boris_1988,20/03/2024,12/03/2024,Bot de web scraping para página https://upcp-compranet.hacienda.gob.mx e información de salida en excel proporcionado por el cliente.  Incluye información extraida.,8,1,3,234.0,"do web scraping, data mining any website",1 source scraped | Formatting & clean up | 1 Revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO31E5595CB87,4.7,Completed,207.0
boris_1988,12/03/2024,12/03/2024,,10,0,0,0,provide a consultation video call and written summary,,https://www.fiverr.com/users/darideveloper/manage_orders/FO82A7767CA46,5,Completed,5.0
ignacio_adt,12/03/2024,11/03/2024,bot de web scraping para https://www.embassypages.com/spain (ignora el nombre del gig),3,0,0,0,"create your web page  fast, responsive, contact forms, animations, customization",1 page | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO21841D3A786,0,Completed,195.0
ignacio_adt,03/03/2024,27/02/2024,scraper para buscar negocios en la página de incibe  y guardar información en excel  instalación remota o versión portable incluida,7,0,0,0,"create your web page  fast, responsive, contact forms, animations, customization",1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO41222718F42,0,Completed,140.0
lzunigar,24/02/2024,15/02/2024,Landing page wordpress con dominio .com (a revisar disponibilidad) y primer mes de hosting,7,1,2,120.0,convert design to website with hosting and domain,1 page | Responsive design | Server upload | Browser compatibility | 2 revisions,https://www.fiverr.com/users/darideveloper/manage_orders/FO2C0E45CF42,5,Completed,120.0
lzunigar,15/02/2024,15/02/2024,,1,0,0,0,"create your web page, with hosting and domain, fast, responsive, animations",,https://www.fiverr.com/users/darideveloper/manage_orders/FO11214E87BC5,4.7,Completed,10.0
abrahamalvarezb,08/02/2024,02/02/2024,Bot para extraer números de teléfono  nombre del negocio  página web y código postal  de negocios en Google maps y guardar los datos en Google sheets o excel (solo uno  a indicar por el cliente),7,0,0,0,"do web scraping, data mining any website",1 source scraped | 1 page scraped | Formatting & clean up | 1 Revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO21808E55986,0,Completed,60.0
romanome,02/02/2024,30/01/2024,landing page en WordPress con formulario de contacto,7,0,2,150.0,"create your web page  fast, responsive, contact forms, animations, customization",1 page | Content upload | Functional website | Speed optimization | 2 revisions | Botón flotante,https://www.fiverr.com/users/darideveloper/manage_orders/FO81E047F1082,0,Completed,125.0
alvaroreyesenca,30/01/2024,29/01/2024,Actualización de dependencias y proceso de extracción en proyecto Breached Forum Other Leaks Notifications,3,0,0,0,create a script for extract data from any page,Formatting & clean up | Source code | 1 revision,https://www.fiverr.com/users/darideveloper/manage_orders/FO71801E40B81,0,Completed,30.0
j_rodriguez0,31/01/2024,22/01/2024,,10,0,0,0,"create your web page  fast, responsive, contact forms, animations, customization",,https://www.fiverr.com/users/darideveloper/manage_orders/FO511F907D741,0,Completed,170.0
